PR URL,PR Title,PR createdAt,PR mergedAt,stars,fork,language
https://github.com/luau-lang/site/pull/58,Increase share limit,2025-09-19T03:26:11Z,2025-09-20T01:03:13Z,15,False,Astro
https://github.com/Saualmhaus/Saualmhaus.github.io/pull/2,Vorschau-Update index.html,2025-09-04T19:32:46Z,2025-09-04T19:33:24Z,0,False,HTML
https://github.com/n138-kz/Dockerfile.ubuntu/pull/6,add build_at: iso8601 format,2025-08-19T12:53:08Z,2025-08-19T12:56:35Z,0,False,Dockerfile
https://github.com/bytedance/g3/pull/923,Update dev-setup.md,2025-09-10T01:12:13Z,2025-09-10T02:56:44Z,848,False,Rust
https://github.com/nesbox/TIC-80/pull/2829,[libretro] Fixes frametime (and weird bugs),2025-09-10T05:19:35Z,2025-09-11T15:37:09Z,5886,False,C
https://github.com/sunglocto/pi-im/pull/12,make /me parsing more efficient,2025-08-09T01:26:27Z,2025-08-09T07:22:09Z,0,False,Go
https://github.com/p-doom/jasmine/pull/128,fixed spatiotemporal pe and pulled it out of the STBlock,2025-07-30T15:28:15Z,2025-08-05T23:38:11Z,143,True,Python
https://github.com/RyotaTemma/WHI_Intern/pull/20,Task9:検索結果の並べ替え,2025-07-20T07:18:41Z,2025-07-20T07:21:48Z,0,False,TypeScript
https://github.com/RyotaTemma/WHI_Intern/pull/21,Task 14: サービス名の検討,2025-07-20T07:36:06Z,2025-07-20T07:37:20Z,0,False,TypeScript
https://github.com/tock/tock/pull/4590,capsules/core/alarm: fix `earliest_alarm` to not return expired,2025-09-09T22:57:34Z,2025-09-13T05:04:22Z,6262,False,Rust
https://github.com/RyotaTemma/WHI_Intern/pull/13,Task6:属性による絞り込み,2025-07-20T01:31:58Z,2025-07-20T02:06:13Z,0,False,TypeScript
https://github.com/RyotaTemma/WHI_Intern/pull/16,Task 自由課題7&10: カードの内部の拡充と名前の省略設定,2025-07-20T03:02:13Z,2025-07-20T04:03:45Z,0,False,TypeScript
https://github.com/RyotaTemma/WHI_Intern/pull/12,Task 16&自由課題 9 : Lintの導入とCI,2025-07-20T01:03:16Z,2025-07-20T01:28:05Z,0,False,TypeScript
https://github.com/woowacourse-teams/2025-PhotoGather/pull/231,feature: 카카오 소셜 로그인,2025-08-03T02:41:07Z,2025-08-06T02:50:40Z,12,False,Java
https://github.com/guicaulada/PvPTalentsSaver/pull/2,"1.0.4 to 2.0.0, fully rewritten to work in TWW (11.1.5).",2025-05-16T10:23:22Z,2025-05-16T15:55:33Z,0,False,Lua
https://github.com/LeoAndo/KMP-App-Template_/pull/6,ログ出力の仕組みを追加,2025-05-13T14:56:40Z,2025-05-13T15:02:21Z,0,False,Kotlin
https://github.com/qpig0218/Med-Edu/pull/8,完成digitalcapability頁面實作與導航功能,2025-06-20T13:08:06Z,2025-06-20T13:22:02Z,0,False,HTML
https://github.com/pjshub/tfground/pull/9,new steps documented,2024-05-04T06:14:23Z,2024-05-04T06:14:48Z,0,False,HCL
https://github.com/ai-robots-txt/ai.robots.txt/pull/8,Add Google Gemini response on AbsBot-Google for bot metrics table.,2024-04-10T14:47:38Z,2024-04-10T16:08:23Z,3781,False,Python
https://github.com/supabase/supabase/pull/21827,docs: Adding JS example of multiple foreign keys to the same table,2024-03-07T00:28:09Z,2024-03-07T21:21:31Z,99834,False,TypeScript
https://github.com/FernFinder/UNLV-S24-CS472-Group7/pull/39,Adding documentation for C++ function searchSubstrings - Kamil,2024-02-26T14:30:19Z,2024-02-26T19:39:30Z,0,False,C++
